"Format","AiM CSV File"
"Session",""
"Vehicle","ame24"
"Racer","joseph"
"Championship",""
"Comment",""
"Date","Sunday, June 2, 2024"
"Time","2:51 PM"
"Sample Rate","20"
"Duration","321"
"Segment","Session"
"Beacon Markers","321"
"Segment Times","5:21.000"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","External Voltage","RPM","WaterTemp Cyl","WaterTemp Cone","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","HVBT High Temp","HVBT Low Temp","HVBT Avg Temp","HVBT BMS Temp","HVBT High Cell V","HVBT Low Cell V","HVBT Avg Cell V","Pack Current","Pack SOC","Pack KW Power","Highest Cell R","Avg Pack R","CMD TargetAcCurrent","CMD TargetSpeed","CMD TargetRelativeCurrent","CMD SetDigOutput1","CMD SetDigOut 01","CMD MaxDcCurrent","CMD DriveEnable","Actual ERPM","Actual Duty","Actual InputVoltage","Actual ACCurrent","Actual DCCurrent","Actual TempController","Actual TempMotor","Actual FaultCode","Actual Throttle","Digital output 3","Actual Brake","Drive enable","DC current limit","Drive enable limit","Power limit"
"s","mph"," ","g","g","deg","deg","deg/s","m","mm","mph","m","deg","deg","Â°C","V","rpm","mV","mV","g","g","g","deg/s","deg/s","deg/s","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"

"0.000","0.1501","8","0.0000","0.0000","-18.3444","110.5619","0.0000","71.9782","21.3000","0.2500","10000.0000","30.63244679","-96.48050626","40.9","11.4","0","-25","-30","-0.43","0.07","-0.90","0.1","0.1","0.4","31","27","28","31","446","187","418","0","98","0","408","408","0","0","0","0","0","179","0","0","-18","0","0","0","36","33","2","0","1","0","0","0","1","0"
"0.050","0.1501","8","0.0000","0.0000","-18.3444","110.5619","0.0000","71.9782","21.3000","0.2500","10000.0000","30.63244679","-96.48050626","40.9","11.4","0","-25","-30","-0.43","0.07","-0.90","0.1","0.1","0.4","31","27","28","31","446","187","418","0","98","0","408","408","0","0","0","0","0","179","0","0","-18","0","0","0","36","33","2","0","1","0","0","0","1","0"
"0.100","0.1501","8","0.0000","0.0000","-18.3444","110.5619","0.0000","71.9782","21.3000","0.2500","10000.0000","30.63244679","-96.48050626","40.9","11.4","0","-25","-30","-0.43","0.07","-0.90","0.1","0.1","0.4","31","27","28","31","446","187","418","0","98","0","408","408","0","0","0","0","0","179","0","0","-18","0","0","0","36","33","2","0","1","0","0","0","1","0"
"0.150","0.1501","8","0.0000","0.0000","-18.3444","110.5619","0.0000","71.9782","21.3000","0.2500","10000.0000","30.63244679","-96.48050626","40.9","11.4","0","-25","-30","-0.43","0.07","-0.90","0.1","0.1","0.4","31","27","28","31","446","187","418","0","98","0","408","408","0","0","0","0","0","179","0","0","-18","0","0","0","36","33","2","0","1","0","0","0","1","0"
"0.200","0.1501","8","0.0000","0.0000","-18.3444","110.5619","0.0000","71.9782","21.3000","0.2500","10000.0000","30.63244679","-96.48050626","40.9","11.4","0","-25","-30","-0.43","0.07","-0.90","0.1","0.1","0.4","31","27","28","31","446","187","418","0","98","0","408","408","0","0","0","0","0","179","0","0","-18","0","0","0","36","33","2","0","1","0","0","0","1","0"
"0.250","0.2049","8","0.0000","0.0000","-20.4052","115.2740","0.0000","71.9488","21.3000","0.2500","10000.0000","30.63244685","-96.48050611","40.9","11.4","0","-25","-30","-0.43","0.07","-0.90","0.1","0.1","0.4","31","27","28","31","446","187","418","0","98","0","408","408","0","0","0","0","0","179","0","0","-18","0","0","0","36","33","2","0","1","0","0","0","1","0"
"0.300","0.2912","7","0.0000","0.0000","-18.1036","112.7039","0.0000","71.9076","21.3000","0.2500","10000.0000","30.63244696","-96.48050577","40.9","11.4","0","-25","-30","-0.43","0.07","-0.90","0.1","0.1","0.4","31","27","28","31","446","187","418","0","98","0","408","408","0","0","0","0","0","179","0","0","-19","0","0","0","36","33","2","0","1","0","0","0","1","0"
"0.350","0.3288","7","0.0000","0.0000","-13.7773","115.5126","0.0000","71.8673","21.3000","0.2500","10000.0000","30.63244705","-96.48050559","40.9","11.4","0","-25","-30","-0.43","0.07","-0.90","0.1","0.0","0.4","31","27","28","31","446","187","418","0","98","0","408","408","0","0","0","0","0","179","0","0","-19","0","0","0","36","33","2","0","1","0","0","0","1","0"
"0.400","0.2196","7","0.0000","0.0000","-24.9766","135.9419","0.0000","71.8096","21.3000","0.2370","10000.0000","30.63244703","-96.48050578","40.9","11.4","0","-25","-30","-0.43","0.07","-0.90","0.1","0.1","0.4","31","27","28","31","446","187","418","0","98","0","408","408","0","0","0","0","0","179","0","0","-19","0","0","0","36","33","2","0","1","0","0","0","1","0"
"0.450","0.1226","7","0.0000","0.0000","-41.0432","164.6239","0.0000","71.8162","21.3000","0.2030","10000.0000","30.63244692","-96.48050599","40.9","11.4","0","-25","-30","-0.43","0.07","-0.90","0.1","0.1","0.4","31","27","28","31","446","187","418","0","98","0","408","408","0","0","0","0","0","179","0","0","-15","0","0","0","36","33","2","0","1","0","0","0","1","0"
"0.500","0.0949","7","0.0000","0.0000","-44.8128","162.9846","0.0000","71.8390","21.3000","0.1930","10000.0000","30.63244690","-96.48050613","40.9","11.4","0","-25","-30","-0.43","0.07","-0.90","0.1","0.1","0.4","31","27","28","31","446","187","418","0","98","0","408","408","0","0","0","0","0","179","0","0","-13","0","0","0","36","33","2","0","1","0","0","0","1","0"
"0.550","0.1091","7","0.0000","0.0000","-38.5420","155.4621","0.0000","71.8762","21.3000","0.2180","10000.0000","30.63244671","-96.48050621","40.9","11.4","0","-25","-30","-0.43","0.07","-0.90","0.1","0.1","0.4","31","27","28","31","446","187","418","0","98","0","408","408","0","0","0","0","0","179","0","0","-15","0","0","0","36","33","2","0","1","0","0","0","1","0"
"0.600","0.1341","7","0.0000","0.0000","-30.5008","160.3036","0.0000","71.8854","21.3000","0.2365","10000.0000","30.63244652","-96.48050620","40.9","11.4","0","-25","-30","-0.43","0.07","-0.90","0.1","0.1","0.4","31","27","28","31","446","187","418","0","98","0","408","408","0","0","0","0","0","179","0","0","-17","0","0","0","36","33","2","0","1","0","0","0","1","0"